Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Pradrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,35,24,701370,991873,335,224
100000,100 Números Aleatórios,22,4,21,4,289,366
1000000,Pior Cenário,35,23,8241353,11655013,308,187
1000000,100 Números Aleatórios,25,4,25,5,218,147
200000,Pior Cenário,76,71,1423449,2013042,308,187
200000,100 Números Aleatórios,30,9,21,5,218,147
300000,Pior Cenário,44,34,2207758,3122211,308,187
300000,100 Números Aleatórios,22,4,22,5,218,147
400000,Pior Cenário,63,55,2965290,4193526,308,187
400000,100 Números Aleatórios,29,10,22,4,220,148
500000,Pior Cenário,51,41,4065347,5749250,308,187
500000,100 Números Aleatórios,32,22,25,6,218,147
600000,Pior Cenário,32,21,4646952,6571768,308,187
600000,100 Números Aleatórios,32,13,24,4,218,147
700000,Pior Cenário,31,21,5754868,8138602,308,187
700000,100 Números Aleatórios,28,8,26,5,218,147
800000,Pior Cenário,42,29,6508793,9204802,308,187
800000,100 Números Aleatórios,28,7,24,5,218,147
900000,Pior Cenário,70,54,7263613,10272284,308,187
900000,100 Números Aleatórios,29,9,24,5,219,147
