Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Padrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,100 Números Aleatórios,12528,7451,54441,28581,20966359,23110
200000,100 Números Aleatórios,20164,11053,92388,52948,26920878,15155
300000,100 Números Aleatórios,40076,94582,140025,86591,32833536,0
400000,100 Números Aleatórios,30255,20399,180169,121250,37855232,0
500000,100 Números Aleatórios,41350,25896,244032,139788,43843584,0
600000,100 Números Aleatórios,52773,31629,300899,173516,48975872,0
700000,100 Números Aleatórios,62931,37226,344426,191535,55066624,0
800000,100 Números Aleatórios,98708,121903,366976,223871,59941069,5861
900000,100 Números Aleatórios,83778,52057,427555,253238,65871872,0
1000000,100 Números Aleatórios,83203,51610,480054,281981,69840896,0
100000,Pior Cenário,18601,4603,100000,0,20922368,0
200000,Pior Cenário,34956,2982,200000,0,28995584,0
300000,Pior Cenário,55451,4428,300000,0,37007360,0
400000,Pior Cenário,121319,7939,400000,0,45117440,0
500000,Pior Cenário,115483,35024,500000,0,53186560,0
600000,Pior Cenário,107015,8461,600000,0,61444096,0
700000,Pior Cenário,109786,8195,700000,0,69443584,0
800000,Pior Cenário,125643,10499,800000,0,77545472,0
900000,Pior Cenário,222060,31473,900000,0,85647360,0
1000000,Pior Cenário,248823,91048,1000000,0,92684288,0
