Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Pradrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,100 Números Aleatórios,37974,48789,51814,28090,39739515,22288
200000,100 Números Aleatórios,23476,14014,98589,60607,62811709,12729
300000,100 Números Aleatórios,35414,24906,144951,81008,85962752,0
400000,100 Números Aleatórios,37337,22907,176534,116434,109318144,0
500000,100 Números Aleatórios,57876,30771,276820,147149,132628480,0
600000,100 Números Aleatórios,71975,41696,319489,179918,156217344,0
700000,100 Números Aleatórios,82423,62767,352684,195705,179585024,0
800000,100 Números Aleatórios,90462,36984,452821,198159,202899661,5861
900000,100 Números Aleatórios,82037,58763,400328,276857,226252390,7815
1000000,100 Números Aleatórios,89128,54516,450976,292157,251043840,0
100000,Pior Cenário,23490,6765,100000,0,39751680,0
200000,Pior Cenário,39906,453,200000,0,62824448,0
300000,Pior Cenário,79553,9289,300000,0,85970944,0
400000,Pior Cenário,85638,8006,400000,0,109236224,0
500000,Pior Cenário,106145,5824,500000,0,132599808,0
600000,Pior Cenário,160916,73882,600000,0,156053504,0
700000,Pior Cenário,137439,658,700000,0,179363840,0
800000,Pior Cenário,153093,5665,800000,0,202619563,19309
900000,Pior Cenário,177654,6592,900000,0,225935360,0
1000000,Pior Cenário,232737,47787,1000000,0,249253888,0
